time	Temperature	Humidity	CO₂
2011-02-01T08:00:00.000Z	20.61395014	5.829114599	412.5265515
2011-02-01T08:04:50.689Z	20.57424881	5.823829359	412.4742663
2011-02-01T08:09:56.184Z	20.53800941	5.819397221	412.4138192
2011-02-01T08:14:51.474Z	20.49443651	5.814604772	412.3586653
2011-02-01T08:19:42.462Z	20.4532218	5.810125626	412.3022636
2011-02-01T08:24:32.378Z	20.41438413	5.805198302	412.2472816
2011-02-01T08:29:34.494Z	20.37000403	5.800037643	412.1773819
2011-02-01T08:34:37.695Z	20.32170287	5.79344163	412.1128237
2011-02-01T08:39:44.584Z	20.27547565	5.787899134	412.0480197
2011-02-01T08:44:45.520Z	20.22580478	5.78219037	411.9839026
2011-02-01T08:49:51.734Z	20.17317667	5.775888707	411.9091561
2011-02-01T08:54:39.505Z	20.12773713	5.769258526	411.8424669
2011-02-01T08:59:25.104Z	20.07438662	5.762890681	411.7745754
2011-02-01T09:04:17.023Z	20.02860345	5.757062681	411.6971814
2011-02-01T09:09:11.278Z	19.97644314	5.749371981	411.6284985
2011-02-01T09:14:14.596Z	19.92230427	5.742676929	411.5496879
2011-02-01T09:19:24.651Z	19.8681939	5.735397631	411.467811
2011-02-01T09:24:38.293Z	19.80391979	5.727509459	411.3856094
2011-02-01T09:29:44.999Z	19.75204667	5.719088289	411.2995834
2011-02-01T09:34:45.272Z	19.69508593	5.711366272	411.2185365
2011-02-01T09:39:46.528Z	19.63502654	5.703459878	411.1361066
2011-02-01T09:44:35.311Z	19.57688283	5.695830118	411.0521633
2011-02-01T09:49:24.640Z	19.52074894	5.687656621	410.9766917
2011-02-01T09:54:20.759Z	19.46091719	5.679460083	410.8913226
2011-02-01T09:59:26.971Z	19.39861404	5.67099322	410.8014536
2011-02-01T10:04:17.383Z	19.34049971	5.663046797	410.7208127
2011-02-01T10:09:15.244Z	19.27543971	5.654081228	410.636721
2011-02-01T10:14:27.691Z	19.21163553	5.644754587	410.5454304
