time	Temperature	Humidity	CO₂
2011-02-01T08:00:00.000Z	21.60787807	26.46995642	467.1509572
2011-02-01T08:04:50.689Z	21.56626248	26.4459562	467.0917487
2011-02-01T08:09:56.184Z	21.52827576	26.4258299	467.0232976
2011-02-01T08:14:51.474Z	21.48260193	26.40406743	466.9608404
2011-02-01T08:19:42.462Z	21.4394	26.38372767	466.8969704
2011-02-01T08:24:32.378Z	21.39868973	26.36135274	466.8347079
2011-02-01T08:29:34.494Z	21.35216979	26.33791823	466.7555526
2011-02-01T08:34:37.695Z	21.30153972	26.3079658	466.682446
2011-02-01T08:39:44.584Z	21.2530836	26.28279737	466.609061
2011-02-01T08:44:45.520Z	21.20101779	26.25687393	466.5364538
2011-02-01T08:49:51.734Z	21.14585215	26.22825813	466.4518098
2011-02-01T08:54:39.505Z	21.09822168	26.19815054	466.37629
2011-02-01T08:59:25.104Z	21.0422988	26.16923421	466.2994087
2011-02-01T09:04:17.023Z	20.99430814	26.14276932	466.2117666
2011-02-01T09:09:11.278Z	20.93963286	26.10784592	466.1339892
2011-02-01T09:14:14.596Z	20.88288361	26.07744375	466.0447429
2011-02-01T09:19:24.651Z	20.82616424	26.04438852	465.9520243
2011-02-01T09:24:38.293Z	20.75879107	26.00856841	465.858938
2011-02-01T09:29:44.999Z	20.70441682	25.97032795	465.761521
2011-02-01T09:34:45.272Z	20.64470965	25.93526234	465.6697423
2011-02-01T09:39:46.528Z	20.58175442	25.89935948	465.5763976
2011-02-01T09:44:35.311Z	20.52080724	25.86471281	465.481339
2011-02-01T09:49:24.640Z	20.46196677	25.82759703	465.3958739
2011-02-01T09:54:20.759Z	20.39925017	25.79037663	465.2992007
2011-02-01T09:59:26.971Z	20.33394299	25.75192868	465.1974317
2011-02-01T10:04:17.383Z	20.27302661	25.71584404	465.1061127
2011-02-01T10:09:15.244Z	20.20482965	25.67513147	465.0108862
2011-02-01T10:14:27.691Z	20.13794907	25.63277928	464.9075074
2011-02-01T10:19:28.903Z	20.06715496	25.59242167	464.8055157
2011-02-01T10:24:22.151Z	20.00628197	25.55005801	464.7166453
2011-02-01T10:29:33.849Z	19.93277957	25.50809783	464.6436111
2011-02-01T10:34:31.495Z	19.86428156	25.4671239	466.1968743
2011-02-01T10:39:39.024Z	19.79257649	25.42159169	467.6294634
2011-02-01T10:44:29.212Z	19.7287555	25.3778793	469.0377903
2011-02-01T10:49:29.328Z	19.65823725	25.33632697	470.5467089
2011-02-01T10:54:25.079Z	19.58603811	25.29052021	471.8985022
2011-02-01T10:59:21.596Z	19.51818345	25.24535509	473.3627773
2011-02-01T11:04:34.349Z	19.44278941	25.19972205	474.9463419
2011-02-01T11:09:34.798Z	19.36988577	25.15589842	476.3427026
2011-02-01T11:14:37.609Z	19.30053666	25.10842205	477.7770912
2011-02-01T11:19:24.125Z	19.22972151	25.0619975	479.1371065
2011-02-01T11:24:16.873Z	19.16058412	25.01524423	480.5962373
2011-02-01T11:29:30.759Z	19.08008254	24.96630047	481.9989939
2011-02-01T11:34:38.756Z	19.00683741	24.91762513	483.4997548
2011-02-01T11:39:35.644Z	18.9306287	24.87424631	484.8659387
2011-02-01T11:44:32.708Z	18.8584897	24.82761929	486.2510174
2011-02-01T11:49:41.348Z	18.78291964	24.77580418	487.7600515
2011-02-01T11:54:31.095Z	18.71164187	24.72889625	489.0280305
2011-02-01T11:59:23.048Z	18.64372142	24.68346924	490.4184499
2011-02-01T12:04:34.307Z	18.56688316	24.63255471	491.8312824
2011-02-01T12:09:25.191Z	18.49459513	24.58645945	493.1942558
2011-02-01T12:14:18.785Z	18.41836221	24.53680711	494.546209
2011-02-01T12:19:12.301Z	18.52316406	24.48904185	495.7983632
2011-02-01T12:24:20.944Z	18.65988526	24.4421201	497.2415022
2011-02-01T12:29:23.421Z	18.79679316	24.40289825	498.6365336
2011-02-01T12:34:36.269Z	18.94793708	24.63281817	499.8896225
2011-02-01T12:39:37.336Z	19.08832839	24.85798187	501.1815353
